nazwisko,imie,partia
mejza,łukasz,niezrzeszony
michałek,iwona,porozumienie
mieszkowski,krzysztof,ko
milczanowska,anna,pis
milewski,daniel,pis
miller,rajmund,ko
miszalski,aleksander,ko
morawiecki,mateusz,pis
mosiński,jan,pis
moskal,kazimierz,pis
mroczek,czesław,ko
mrówczyński,aleksander,pis
mrzygłocka,izabela katarzyna,ko
mucha,joanna,polska2050
mularczyk,arkadiusz,pis
muller,piotr,pis
murdzek,wojciech,pis
myrcha,arkadiusz,ko
napieralski,grzegorz,ko
neumann,sławomir,ko
niedziela,dorota,ko
niemczyk,małgorzata,ko
nitras,sławomir,ko
nowacka,barbara,ko
nowak,tomasz piotr,ko
nowicka,danuta,pis
nowicka,wanda,lewica
nowogórska,urszula,kp
nykiel,mirosława,ko
obaz,robert,lewica
ociepa,marcin,pis
okła-drewnowicz,marzena,ko
olejniczak,waldemar,pis
olichwer,tomasz,ko
olszewski,dariusz,pis
olszewski,paweł,ko
ołdakowski,adam,pis
osos,katarzyna,ko
osuch,jacek,pis
ozdoba,jacek,pis
paluch,anna,pis
pamuła,teresa,pis
papke,paweł,ko
pasławska,urszula,kp
paszyk,krzysztof,kp
paul,jerzy,pis
pawliczak,karolina,lewica
pawłowska,monika,pis
pępek,małgorzata,ko
piątkowski,krzysztof,ko
piecha,bolesław,pis
piechota,sławomir jan,ko
piechowiak,grzegorz,pis
pieczarka,anna,pis
piekarska,katarzyna maria,ko
piontkowski,dariusz,pis
plocke,kazimierz,ko
płażyński,kacper,pis
płonka,elżbieta,pis
pogoda,szymon,pis
polaczek,jerzy,pis
polak,marek,pis
polak,piotr,pis
pomaska,agnieszka,ko
poncyljusz,paweł,ko
Porowska,violetta,pis
porzucek,marcin,pis
prokop-paczkowska,małgorzata,lewica
protas,jacek,ko
protasiewicz,jacek,kp
puda,grzegorz,pis
raś,ireneusz,kp
rau,zbigniew,pis
romanowski,rafał,pis
rosa,monika,ko
rosati,dariusz,ko
rozenek,andrzej,pps
rusecka,urszula,pis
rusiecki,grzegorz,ko
rutka,marek,lewica
rutnicki,jakub,ko
rychlik,paweł,pis
rząsa,marek,ko
rzepa,jarosław,kp
rzymkowski,tomasz,pis
sachajko,jarosław,kukiz15
sak,piotr,pis
saługa,wojciech,ko
sasin,jacek,pis
sawicki,marek,kp
schetyna,grzegorz,ko
scheuring-wielgus,joanna,lewica
schmidt,anna,pis
schreiber,łukasz,pis
sekuła-szmajdzińska,małgorzata,lewica
sellin,jarosław,pis
senyszyn,joanna,pps
siarka,edward,pis
siarkowska,anna maria,pis
sibińska,krystyna,ko
siekierski,czesław,kp
siemoniak,tomasz,ko
sienkiewicz,bartłomiej,ko
sipiera,zdzisław,pis
skowrońska,krystyna,ko
skwarek,sławomir,pis
sługocki,waldemar,ko
smoliński,kazimierz,pis
sobolewski,krzysztof,pis
soboń,artur,pis
soin,agnieszka,pis
sonik,bogusław,ko
sośnierz,andrzej,ps
sośnierz,dobromir,konfederacja
sowa,marek,ko
sowińska,anita,lewica
sójka,katarzyna,pis
sroka,magdalena,porozumienie
stachowiak-różecka,mirosława,pis
stefaniuk,dariusz,pis
sterczewski,franciszek,ko
strzałka,beata,pis
suchoń,mirosław,polska2050
suski,marek,pis
szałabawka,artur,pis
szarama,wojciech,pis
szczepański,wiesław,lewica
szczerba,michał,ko
szczudło,aleksandra,pis
szczurek-żelazko,józefa,pis
szefernaker,paweł,pis
szejna,andrzej,lewica
szewiński,andrzej,ko
szlachta,andrzej,pis
szłapka,adam,ko
szopiński,jan,lewica
szramka,paweł,ps
szulowski,krzysztof,pis
szumilas,krystyna,ko
szwed,stanisław,pis
szymańska,ewa,pis
szymański,tomasz,ko
szynkowski vel sęk,szymon,pis
ścigaj,agnieszka,ps
śledzińska-katarasińska,iwona,ko
